organization_id,organization_name,industry,headquarters_country
ORG001,Global Finance Group,NGO,USA
ORG002,TechWorld Consortium,Technology,India
ORG003,International Trading Federation,Technology,UK
ORG004,Green Earth Foundation,Public Sector,Germany
ORG005,Smart Cities Alliance,Public Sector,UK
ORG006,Digital Economy Board,Manufacturing,India
ORG007,Future Growth Partners,NGO,USA
ORG008,BlueSky Holdings,Technology,Japan
ORG009,Urban Development Authority,Manufacturing,Singapore
ORG010,World Economic Trust,Finance,UK
